ZCTA5,Final Type,,,,,,,,,
601,Mixed,,,,,,,,,
602,Urbanized Area,,,,,,,,,
603,Urbanized Area,,,,,,,,,
606,Mixed,,,,,,,,,
610,Urbanized Area,,,,,,,,,
612,Urbanized Area,,,,,,,,,
616,Urbanized Area,,,,,,,,,
617,Urbanized Area,,,,,,,,,
622,Urbanized Area,,,,,,,,,
623,Urbanized Area,,,,,,,,,
624,Mixed,,,,,,,,,
627,Urbanized Area,,,,,,,,,
631,Rural,,,,,,,,,
637,Urbanized Area,,,,,,,,,
638,Mixed,,,,,,,,,
641,Mixed,,,,,,,,,
646,Urbanized Area,,,,,,,,,
647,Urbanized Area,,,,,,,,,
650,Mixed,,,,,,,,,
652,Mixed,,,,,,,,,
653,Urbanized Area,,,,,,,,,
656,Urbanized Area,,,,,,,,,
659,Urbanized Area,,,,,,,,,
660,Urbanized Area,,,,,,,,,
662,Urbanized Area,,,,,,,,,
664,Mixed,,,,,,,,,
667,Urbanized Area,,,,,,,,,
669,Urbanized Area,,,,,,,,,
670,Mixed,,,,,,,,,
674,Urbanized Area,,,,,,,,,
676,Urbanized Area,,,,,,,,,
677,Urbanized Area,,,,,,,,,
678,Urbanized Area,,,,,,,,,
680,Urbanized Area,,,,,,,,,
682,Urbanized Area,,,,,,,,,
683,Urbanized Area,,,,,,,,,
685,Urbanized Area,,,,,,,,,
687,Urbanized Area,,,,,,,,,
688,Urbanized Area,,,,,,,,,
690,Urbanized Area,,,,,,,,,
692,Urbanized Area,,,,,,,,,
693,Urbanized Area,,,,,,,,,
694,Urbanized Area,,,,,,,,,
698,Urbanized Area,,,,,,,,,
703,Urbanized Area,,,,,,,,,
704,Urbanized Area,,,,,,,,,
705,Urbanized Area,,,,,,,,,
707,Urban Cluster,,,,,,,,,
714,Urbanized Area,,,,,,,,,
715,Mixed,,,,,,,,,
716,Urbanized Area,,,,,,,,,
717,Urbanized Area,,,,,,,,,
718,Mixed,,,,,,,,,
719,Urbanized Area,,,,,,,,,
720,Mixed,,,,,,,,,
723,Mixed,,,,,,,,,
725,Urbanized Area,,,,,,,,,
727,Urbanized Area,,,,,,,,,
728,Urbanized Area,,,,,,,,,
729,Urbanized Area,,,,,,,,,
730,Urbanized Area,,,,,,,,,
731,Mixed,,,,,,,,,
735,Urbanized Area,,,,,,,,,
736,Urbanized Area,,,,,,,,,
738,Urbanized Area,,,,,,,,,
739,Urbanized Area,,,,,,,,,
740,Urbanized Area,,,,,,,,,
741,Urbanized Area,,,,,,,,,
745,Urbanized Area,,,,,,,,,
751,Mixed,,,,,,,,,
754,Urbanized Area,,,,,,,,,
