ZCTA5,UA,UANAME,Column1,ZCTA5,ZPOPPCT,ZAREAPCT,,
601,550,"Adjuntas, PR ",Urban Cluster,601,57.51,11.45,,
601,99999,Not in a 2010 ,Rural,601,42.49,88.55,,
602,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,602,100,94.95,,
602,99999,Not in a 2010 ,Rural,602,0,5.05,,
603,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,603,99.92,99.34,,
603,99999,Not in a 2010 ,Rural,603,0.08,0.66,,
606,54469,"Maricao, PR ",Urban Cluster,606,40.77,3.09,,
606,99999,Not in a 2010 ,Rural,606,59.23,96.91,,
610,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,610,83.17,34.13,,
610,55738,"Mayag・z, PR ",Urbanized Area,610,5.19,3.32,,
610,99999,Not in a 2010 ,Rural,610,11.63,62.55,,
612,3034,"Arecibo, PR ",Urbanized Area,612,76.42,36.29,,
612,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,612,16.69,6.86,,
612,99999,Not in a 2010 ,Rural,612,6.89,56.85,,
616,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,616,94.74,74.52,,
616,99999,Not in a 2010 ,Rural,616,5.26,25.48,,
617,3034,"Arecibo, PR ",Urbanized Area,617,8.71,5.1,,
617,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,617,89.52,65.65,,
617,99999,Not in a 2010 ,Rural,617,1.77,29.26,,
622,78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR ",Urbanized Area,622,78.58,19.33,,
622,99999,Not in a 2010 ,Rural,622,21.42,80.67,,
623,55738,"Mayag・z, PR ",Urbanized Area,623,0,0.14,,
623,78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR ",Urbanized Area,623,98.55,87.91,,
623,99999,Not in a 2010 ,Rural,623,1.45,11.95,,
624,70642,"Ponce, PR ",Urbanized Area,624,15.1,8.84,,
624,97561,"Yauco, PR ",Urbanized Area,624,69.49,15.63,,
624,99999,Not in a 2010 ,Rural,624,15.41,75.53,,
627,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,627,11.2,9.65,,
627,3034,"Arecibo, PR ",Urbanized Area,627,75.31,38.21,,
627,99999,Not in a 2010 ,Rural,627,13.49,52.14,,
631,99999,Not in a 2010 ,Rural,631,100,100,,
637,78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR ",Urbanized Area,637,84.06,42.67,,
637,97561,"Yauco, PR ",Urbanized Area,637,7.55,5.17,,
637,99999,Not in a 2010 ,Rural,637,8.4,52.16,,
638,79093,"San Juan, PR ",Urbanized Area,638,62.5,15.65,,
638,99999,Not in a 2010 ,Rural,638,37.5,84.35,,
641,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,641,56.58,14.63,,
641,99999,Not in a 2010 ,Rural,641,43.42,85.37,,
646,79093,"San Juan, PR ",Urbanized Area,646,100,94.05,,
646,99999,Not in a 2010 ,Rural,646,0,5.95,,
647,97561,"Yauco, PR ",Urbanized Area,647,78.16,11.75,,
647,99999,Not in a 2010 ,Rural,647,21.84,88.25,,
650,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,650,70.38,22.21,,
650,99999,Not in a 2010 ,Rural,650,29.62,77.79,,
652,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,652,74.21,43.13,,
652,99999,Not in a 2010 ,Rural,652,25.79,56.87,,
653,97561,"Yauco, PR ",Urbanized Area,653,93.29,26.46,,
653,99999,Not in a 2010 ,Rural,653,6.71,73.54,,
656,70642,"Ponce, PR ",Urbanized Area,656,0,0.35,,
656,97561,"Yauco, PR ",Urbanized Area,656,88.13,42.52,,
656,99999,Not in a 2010 ,Rural,656,11.87,57.13,,
659,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,659,2.57,2.85,,
659,3034,"Arecibo, PR ",Urbanized Area,659,86.59,54.75,,
659,99999,Not in a 2010 ,Rural,659,10.84,42.4,,
660,55738,"Mayag・z, PR ",Urbanized Area,660,99.8,64.58,,
660,99999,Not in a 2010 ,Rural,660,0.2,35.42,,
662,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,662,94.83,61.29,,
662,99999,Not in a 2010 ,Rural,662,5.17,38.71,,
664,42778,"Jayuya, PR ",Urban Cluster,664,67.33,21.94,,
664,99999,Not in a 2010 ,Rural,664,32.67,78.06,,
667,78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR ",Urbanized Area,667,82.15,25.03,,
667,99999,Not in a 2010 ,Rural,667,17.85,74.97,,
669,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,669,77.34,34.52,,
669,99999,Not in a 2010 ,Rural,669,22.66,65.48,,
670,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,670,30.63,7.09,,
670,55738,"Mayag・z, PR ",Urbanized Area,670,2.14,0.44,,
670,99999,Not in a 2010 ,Rural,670,67.23,92.47,,
674,30115,"Florida--Imb駻y--Barceloneta, PR ",Urbanized Area,674,6.71,5.73,,
674,79093,"San Juan, PR ",Urbanized Area,674,86.53,40.66,,
674,99999,Not in a 2010 ,Rural,674,6.76,53.61,,
676,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,676,87.51,55.77,,
676,99999,Not in a 2010 ,Rural,676,12.49,44.23,,
677,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,677,100,91.18,,
677,99999,Not in a 2010 ,Rural,677,0,8.82,,
678,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,678,8.04,7.58,,
678,3034,"Arecibo, PR ",Urbanized Area,678,82.72,52.28,,
678,99999,Not in a 2010 ,Rural,678,9.23,40.14,,
680,55738,"Mayag・z, PR ",Urbanized Area,680,95.13,41.95,,
680,99999,Not in a 2010 ,Rural,680,4.87,58.05,,
682,55738,"Mayag・z, PR ",Urbanized Area,682,97.14,56.76,,
682,99999,Not in a 2010 ,Rural,682,2.86,43.24,,
683,55738,"Mayag・z, PR ",Urbanized Area,683,10.82,9.8,,
683,78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR ",Urbanized Area,683,79.96,45.8,,
683,99999,Not in a 2010 ,Rural,683,9.23,44.4,,
685,631,"Aguadilla--Isabela--San Sebasti疣, PR ",Urbanized Area,685,86.69,54.2,,
