Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
00601,PR,64.348,18.180555,-66.749961
00602,PR,30.613000000000003,18.361945000000002,-67.175597
00603,PR,31.616,18.455182999999998,-67.119887
00606,PR,42.309,18.158345,-66.932911
00610,PR,35.916,18.295366,-67.125135
00612,PR,67.605,18.402252999999998,-66.71139699999999
00616,PR,11.53,18.420412,-66.67197900000001
00617,PR,15.192,18.445147,-66.559696
00622,PR,28.991999999999997,17.991245000000003,-67.153993
00623,PR,37.974000000000004,18.083361,-67.153897
00624,PR,43.163999999999994,18.064919,-66.71668299999999
00627,PR,46.355,18.4126,-66.863926
00631,PR,4.021,18.190607,-66.832041
00637,PR,34.45,18.076713,-66.947389
00638,PR,66.045,18.295913,-66.515588
00641,PR,93.531,18.263085,-66.712985
00646,PR,20.7,18.43315,-66.285875
00647,PR,15.205,17.963613,-66.94712700000001
00650,PR,30.522,18.349416,-66.578079
00652,PR,6.917000000000001,18.448452,-66.594127
00653,PR,15.242,17.985032999999998,-66.88653599999999
00656,PR,32.415,18.053539,-66.79293100000001
00659,PR,41.781000000000006,18.407226,-66.808999
00660,PR,11.338,18.134695,-67.116199
00662,PR,44.368,18.468320000000002,-67.015781
00664,PR,45.521,18.21033,-66.591616
00667,PR,60.315,18.003422,-67.03581
00669,PR,61.552,18.277102,-66.86964499999999
00670,PR,45.57,18.240187,-66.988776
00674,PR,44.943000000000005,18.422908,-66.489337
00676,PR,50.437,18.377637,-67.079574
00677,PR,14.339,18.332568,-67.22702199999999
00678,PR,26.361,18.434099,-66.927384
00680,PR,64.207,18.182055,-67.132502
00682,PR,14.397,18.221464,-67.156039
00683,PR,52.196000000000005,18.1078,-67.037263
00685,PR,77.533,18.332929,-66.959689
00687,PR,38.871,18.319026,-66.42055699999999
00688,PR,31.816,18.382264000000003,-66.62643800000001
00690,PR,2.815,18.49551,-67.098671
00692,PR,26.76,18.410188,-66.336556
00693,PR,39.319,18.423,-66.39723199999999
00694,PR,0.789,18.48237,-66.391079
00698,PR,69.618,18.064848,-66.856319
00703,PR,29.674,18.248401,-66.130662
00704,PR,4.876,17.965770000000003,-66.219555
00705,PR,31.949,18.128961,-66.266683
00707,PR,21.066,18.014055,-65.920751
00714,PR,14.618,18.003025,-66.046237
00715,PR,7.869,18.011232999999997,-66.56006500000001
00716,PR,8.56,17.99204,-66.605856
00717,PR,2.102,18.003222,-66.614037
00718,PR,45.24,18.231988,-65.759623
00719,PR,28.003,18.289927,-66.25344
00720,PR,59.602,18.217945999999998,-66.428076
00723,PR,46.16,18.043498,-66.015479
00725,PR,42.231,18.218819,-66.042375
00727,PR,21.489,18.215308,-66.073565
00728,PR,15.647,17.989853,-66.664116
00729,PR,33.961,18.323585,-65.883206
00730,PR,6.51,18.030831,-66.616838
00731,PR,47.621,18.109947000000002,-66.635622
00735,PR,23.309,18.252603,-65.68249399999999
00736,PR,55.097,18.103624,-66.151667
00738,PR,29.476999999999997,18.304458,-65.698711
00739,PR,31.58,18.177232999999998,-66.160645
00740,PR,0.426,18.331178,-65.63410400000001
00741,PR,2.363,18.163854999999998,-65.754042
00745,PR,51.613,18.352216000000002,-65.817387
00751,PR,46.964,18.001317,-66.252183
00754,PR,51.028999999999996,18.147107000000002,-65.976167
00757,PR,29.833000000000002,17.995441,-66.391334
00765,PR,19.039,18.130095999999998,-65.439369
00766,PR,40.039,18.133195999999998,-66.476916
00767,PR,55.406000000000006,18.069489,-65.89616099999999
00769,PR,76.514,18.1038,-66.357586
00771,PR,33.819,18.187148,-65.871189
00772,PR,14.663,18.438969,-65.905174
00773,PR,24.311999999999998,18.342888000000002,-65.723109
00775,PR,10.561,18.326598999999998,-65.30771999999999
00777,PR,26.581,18.224133,-65.90854200000001
00778,PR,29.644000000000002,18.264076,-65.97851
00780,PR,20.098,18.102834,-66.568105
00782,PR,26.644000000000002,18.225707999999997,-66.221633
