Zipcode,Land Area (sq mi),Center Point Lat,Center Point Lng
601,64.348,18.180555,-66.749961
602,30.613,18.361945,-67.175597
603,31.616,18.455183,-67.119887
606,42.309,18.158345,-66.932911
610,35.916,18.295366,-67.125135
612,67.605,18.402253,-66.711397
616,11.53,18.420412,-66.671979
617,15.192,18.445147,-66.559696
622,28.992,17.991245,-67.153993
623,37.974,18.083361,-67.153897
624,43.164,18.064919,-66.716683
627,46.355,18.4126,-66.863926
631,4.021,18.190607,-66.832041
637,34.45,18.076713,-66.947389
638,66.045,18.295913,-66.515588
641,93.531,18.263085,-66.712985
646,20.7,18.43315,-66.285875
647,15.205,17.963613,-66.947127
650,30.522,18.349416,-66.578079
652,6.917,18.448452,-66.594127
653,15.242,17.985033,-66.886536
656,32.415,18.053539,-66.792931
659,41.781,18.407226,-66.808999
660,11.338,18.134695,-67.116199
662,44.368,18.46832,-67.015781
664,45.521,18.21033,-66.591616
667,60.315,18.003422,-67.03581
669,61.552,18.277102,-66.869645
670,45.57,18.240187,-66.988776
674,44.943,18.422908,-66.489337
676,50.437,18.377637,-67.079574
677,14.339,18.332568,-67.227022
678,26.361,18.434099,-66.927384
680,64.207,18.182055,-67.132502
682,14.397,18.221464,-67.156039
683,52.196,18.1078,-67.037263
685,77.533,18.332929,-66.959689
687,38.871,18.319026,-66.420557
688,31.816,18.382264,-66.626438
690,2.815,18.49551,-67.098671
692,26.76,18.410188,-66.336556
693,39.319,18.423,-66.397232
694,0.789,18.48237,-66.391079
698,69.618,18.064848,-66.856319
703,29.674,18.248401,-66.130662
704,4.876,17.96577,-66.219555
705,31.949,18.128961,-66.266683
707,21.066,18.014055,-65.920751
714,14.618,18.003025,-66.046237
715,7.869,18.011233,-66.560065
716,8.56,17.99204,-66.605856
717,2.102,18.003222,-66.614037
718,45.24,18.231988,-65.759623
719,28.003,18.289927,-66.25344
720,59.602,18.217946,-66.428076
723,46.16,18.043498,-66.015479
725,42.231,18.218819,-66.042375
727,21.489,18.215308,-66.073565
728,15.647,17.989853,-66.664116
729,33.961,18.323585,-65.883206
730,6.51,18.030831,-66.616838
731,47.621,18.109947,-66.635622
735,23.309,18.252603,-65.682494
736,55.097,18.103624,-66.151667
738,29.477,18.304458,-65.698711
739,31.58,18.177233,-66.160645
740,0.426,18.331178,-65.634104
741,2.363,18.163855,-65.754042
745,51.613,18.352216,-65.817387
751,46.964,18.001317,-66.252183
754,51.029,18.147107,-65.976167
757,29.833,17.995441,-66.391334
765,19.039,18.130096,-65.439369
766,40.039,18.133196,-66.476916
767,55.406,18.069489,-65.896161
769,76.514,18.1038,-66.357586
771,33.819,18.187148,-65.871189
772,14.663,18.438969,-65.905174
773,24.312,18.342888,-65.723109
775,10.561,18.326599,-65.30772
777,26.581,18.224133,-65.908542
778,29.644,18.264076,-65.97851
780,20.098,18.102834,-66.568105
782,26.644,18.225708,-66.221633
783,41.847,18.30391,-66.326179
784,55.551,18.010714,-66.133615
786,0.257,18.155424,-66.229907
