NAME,LNG,LAT,ADDRESS,ADDRESS2,CITY,STATE,Zipcode,Hospitals_near,TYPE,STATUS,NAICS_DESC,ALT_NAME,OWNER,TTL_STAFF,BEDS,TRAUMA
CATHOLIC MEDICAL CENTER,-71.47431090299993,42.991565177000034,100 MCGREGOR STREET,NOT AVAILABLE,MANCHESTER,NH,3102.0,19.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,330.0,NOT AVAILABLE
CROTCHED MOUNTAIN REHABILITATION CENTER,-71.87453591099995,42.97187110000005,1 VERNEY DRIVE,NOT AVAILABLE,GREENFIELD,NH,3047.0,10.0,REHABILITATION,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,62.0,NOT AVAILABLE
MONADNOCK COMMUNITY HOSPITAL,-71.94068275399997,42.893089422000045,452 OLD STREET ROAD,NOT AVAILABLE,PETERBOROUGH,NH,3458.0,7.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,-71.46137469899999,42.75627983700007,8 PROSPECT STREET,NOT AVAILABLE,NASHUA,NH,3060.0,27.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,188.0,II
ST JOSEPH HOSPITAL,-71.48021205399994,42.749239109000015,172 KINSLEY ST,NOT AVAILABLE,NASHUA,NH,3061.0,28.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,208.0,II
ELLIOT HOSPITAL CITY OF MANCHESTER,-71.438,42.983954,ONE ELLIOT WAY,NOT AVAILABLE,MANCHESTER,NH,3103.0,21.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,296.0,II
CONCORD HOSPITAL,-71.56202040499993,43.197744144000076,250 PLEASANT STREET,NOT AVAILABLE,CONCORD,NH,3301.0,8.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,295.0,II
FRANKLIN REGIONAL HOSPITAL,-71.64455272499998,43.448404259000014,15 AIKEN AVE,NOT AVAILABLE,FRANKLIN,NH,3235.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
HEALTHSOUTH REHABILITATION HOSPITAL,-71.56283486399997,43.19977473800004,254 PLEASANT STREET,NOT AVAILABLE,CONCORD,NH,3301.0,8.0,REHABILITATION,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,50.0,NOT AVAILABLE
NEW LONDON HOSPITAL,-72.00004766,43.420637675000066,273 COUNTY ROAD,NOT AVAILABLE,NEW LONDON,NH,3257.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,-72.97714064899995,40.78005718800006,101 HOSPITAL RD,NOT AVAILABLE,PATCHOGUE,NY,11772.0,11.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,306.0,AREA
