Zipcode,Population,Pop_W,Pop_B,Pop_A,Pop_H,Median Age,State,Land Area (sq mi),Center Point Lat,Center Point Lng,Pop Density
00601,17982.0,16956.0,102.0,0.0,17942.0,37.6,PR,64.348,18.180555,-66.749961,279.449244731771
00602,40260.0,23144.0,693.0,72.0,37681.0,39.5,PR,30.613000000000003,18.361945,-67.175597,1315.1275601868485
00603,52408.0,36177.0,2057.0,655.0,50437.0,39.9,PR,31.616,18.455183,-67.119887,1657.6417004048583
00606,6331.0,4399.0,151.0,0.0,6323.0,40.8,PR,42.309,18.158345,-66.932911,149.63719303221538
00610,28328.0,17791.0,950.0,26.0,27999.0,40.2,PR,35.916,18.295366,-67.125135,788.7292571555853
00612,64816.0,53756.0,3252.0,808.0,64542.0,39.9,PR,67.605,18.402253,-66.71139699999999,958.7456549071813
00616,10707.0,10088.0,224.0,0.0,10685.0,42.8,PR,11.53,18.420412,-66.67197900000001,928.6209887250651
00617,24793.0,23276.0,539.0,30.0,24645.0,37.1,PR,15.192,18.445147,-66.559696,1631.977356503423
00622,7425.0,5251.0,104.0,0.0,7357.0,42.5,PR,28.992,17.991245000000006,-67.153993,256.1051324503311
00623,42955.0,32402.0,1515.0,16.0,42881.0,40.9,PR,37.974,18.083361,-67.153897,1131.168694369832
00624,24628.0,20830.0,856.0,46.0,24470.0,35.5,PR,43.164,18.064919,-66.71668299999999,570.56806598091
00627,33949.0,28031.0,543.0,0.0,33744.0,39.0,PR,46.355,18.4126,-66.863926,732.3697551504692
00631,1664.0,1516.0,0.0,0.0,1656.0,43.8,PR,4.021,18.190607,-66.832041,413.82740611788114
00637,24398.0,20606.0,739.0,0.0,24156.0,40.1,PR,34.45,18.076713,-66.947389,708.2148040638606
00638,18084.0,17295.0,153.0,0.0,17999.0,38.7,PR,66.045,18.295913,-66.515588,273.81330910742673
00641,29516.0,25638.0,545.0,246.0,29391.0,39.9,PR,93.531,18.263085,-66.712985,315.57451540131075
00646,38396.0,29211.0,5230.0,29.0,37590.0,38.1,PR,20.7,18.43315,-66.285875,1854.87922705314
00647,5740.0,4916.0,124.0,0.0,5733.0,45.0,PR,15.205,17.963613,-66.94712700000001,377.5073988819467
00650,14738.0,13906.0,256.0,68.0,14708.0,37.1,PR,30.522,18.349416,-66.578079,482.8648188192124
00652,3800.0,3443.0,60.0,23.0,3783.0,40.1,PR,6.917000000000002,18.448452,-66.594127,549.3711146450772
00653,12514.0,10227.0,435.0,0.0,12437.0,37.4,PR,15.242,17.985032999999994,-66.88653599999999,821.0208634037527
00656,20414.0,17938.0,621.0,29.0,20302.0,38.3,PR,32.415,18.053539,-66.79293100000001,629.7701681320376
00659,41578.0,40209.0,353.0,124.0,41307.0,39.4,PR,41.78100000000001,18.407226,-66.808999,995.1413321844855
00660,16845.0,5853.0,362.0,70.0,16762.0,44.0,PR,11.338,18.134695,-67.116199,1485.7117657435174
00662,42499.0,28948.0,2352.0,10.0,42019.0,39.8,PR,44.368,18.46832,-67.015781,957.8750450775333
00664,15974.0,14116.0,236.0,19.0,15949.0,35.2,PR,45.521,18.21033,-66.591616,350.91496232508075
00667,24968.0,18519.0,576.0,0.0,24947.0,42.1,PR,60.315,18.003422,-67.03581,413.9600431070215
00669,27703.0,25205.0,247.0,26.0,27588.0,39.0,PR,61.552,18.277102,-66.86964499999999,450.0747335586171
00670,9333.0,7732.0,76.0,0.0,9235.0,38.3,PR,45.57,18.240187,-66.988776,204.80579328505596
00674,42358.0,36403.0,1905.0,3.0,41770.0,39.3,PR,44.94300000000001,18.422908,-66.489337,942.4827003092804
00676,38999.0,29641.0,1095.0,19.0,38681.0,37.3,PR,50.437,18.377637,-67.079574,773.222039375855
00677,14855.0,8334.0,222.0,28.0,13513.0,42.7,PR,14.339,18.332568,-67.22702199999999,1035.9857730664621
00678,26815.0,19410.0,1322.0,34.0,26623.0,39.1,PR,26.361,18.434099,-66.927384,1017.222411896362
00680,52431.0,26668.0,1903.0,19.0,51993.0,39.2,PR,64.207,18.182055,-67.132502,816.5932063482176
00682,32431.0,14495.0,1433.0,25.0,32023.0,36.2,PR,14.397,18.221464,-67.156039,2252.6220740432036
00683,32569.0,26950.0,826.0,0.0,32442.0,42.0,PR,52.19600000000001,18.1078,-67.037263,623.9750172427005
00685,40800.0,35270.0,747.0,28.0,40511.0,41.3,PR,77.533,18.332929,-66.959689,526.227541820902
00687,32294.0,28404.0,403.0,31.0,32236.0,35.2,PR,38.871,18.319026,-66.42055699999999,830.7993105399912
00688,12870.0,11830.0,279.0,10.0,12727.0,39.3,PR,31.816,18.382264000000006,-66.62643800000001,404.5134523510184
00690,5565.0,3190.0,165.0,27.0,5263.0,38.1,PR,2.815,18.49551,-67.098671,1976.9094138543517
