,Zipcode,Center Point Lat,Center Point Lng,ID,Gmaps Lat,Gmaps Lon
0,00601,18.180555,-66.749961,0.0,18.152217,-66.7367345
1,00602,18.361945,-67.175597,0.0,18.3790869,-67.192459
2,00603,18.455183,-67.119887,0.0,18.4682429,-67.1179511
3,00606,18.158345,-66.932911,0.0,18.1841095,-66.9823713
4,00610,18.295366,-67.125135,0.0,18.2896155,-67.1179511
5,00612,18.402253,-66.71139699999999,0.0,18.4528424,-66.7464487
6,00616,18.420412,-66.67197900000001,0.0,18.4253606,-66.6742101
7,00617,18.445147,-66.559696,0.0,18.4489545,-66.5342963
8,00622,17.991245000000006,-67.153993,0.0,17.9796201,-67.2043449
9,00623,18.083361,-67.153897,1.0,18.0374812,-67.1536993
10,00624,18.064919,-66.71668299999999,0.0,18.0758177,-66.74864459999999
11,00627,18.4126,-66.863926,0.0,18.4251947,-66.8677563
12,00631,18.190607,-66.832041,1.0,18.1807385,-66.8340161
13,00637,18.076713,-66.947389,0.0,18.0932207,-66.9749731
14,00638,18.295913,-66.515588,0.0,18.3092404,-66.48667329999999
15,00641,18.263085,-66.712985,1.0,18.266146,-66.7005065
16,00646,18.43315,-66.285875,0.0,18.4622387,-66.2962203
17,00647,17.963613,-66.94712700000001,0.0,17.9691828,-66.96305939999999
18,00650,18.349416,-66.578079,0.0,18.3612903,-66.566367
19,00652,18.448452,-66.594127,0.0,18.4551549,-66.5819231
20,00653,17.985032999999994,-66.88653599999999,0.0,17.9726834,-66.9074624
21,00656,18.053539,-66.79293100000001,0.0,18.0325027,-66.795137
22,00659,18.407226,-66.808999,0.0,18.4862321,-66.8253782
23,00660,18.134695,-67.116199,0.0,18.1396704,-67.12732679999999
24,00662,18.46832,-67.015781,0.0,18.4561305,-67.0226297
25,00664,18.21033,-66.591616,0.0,18.2229651,-66.5938303
26,00667,18.003422,-67.03581,0.0,18.0033418,-67.058374
27,00669,18.277102,-66.86964499999999,0.0,18.2932055,-66.8837495
28,00670,18.240187,-66.988776,0.0,18.2449261,-67.0096792
29,00674,18.422908,-66.489337,4.0,18.4204876,-66.48667329999999
30,00676,18.377637,-67.079574,1.0,18.3955528,-67.1170037
31,00677,18.332568,-67.22702199999999,0.0,18.3069824,-67.2341377
32,00678,18.434099,-66.927384,0.0,18.4736828,-66.9385578
33,00680,18.182055,-67.132502,2.0,18.1825195,-67.14127839999999
34,00682,18.221464,-67.156039,0.0,18.2323231,-67.1060353
35,00683,18.1078,-67.037263,2.0,18.079942,-67.04510479999999
36,00685,18.332929,-66.959689,0.0,18.3354598,-66.994627
37,00687,18.319026,-66.42055699999999,0.0,18.3317609,-66.40334229999999
38,00688,18.382264000000006,-66.62643800000001,0.0,18.3704881,-66.66974429999999
39,00690,18.49551,-67.098671,0.0,18.512177,-67.0866619
40,00692,18.410188,-66.336556,0.0,18.4017996,-66.3438275
41,00693,18.423,-66.39723199999999,0.0,18.4207207,-66.40334229999999
42,00694,18.48237,-66.391079,1.0,18.4874843,-66.4045597
43,00698,18.064848,-66.856319,1.0,18.0655998,-66.84393240000001
44,00703,18.248401,-66.130662,0.0,18.2646735,-66.17201519999999
45,00704,17.965770000000006,-66.219555,0.0,17.9599917,-66.2314272
46,00705,18.128961,-66.266683,1.0,18.135403,-66.2605176
47,00707,18.014055,-65.920751,0.0,18.0126754,-65.9155215
48,00714,18.003025,-66.046237,1.0,17.9870515,-66.058249
49,00715,18.011232999999994,-66.56006500000001,0.0,18.004076,-66.5342963
50,00716,17.99204,-66.605856,0.0,18.0061035,-66.5929503
51,00717,18.003222,-66.614037,1.0,18.0004826,-66.6042494
52,00718,18.231988,-65.759623,0.0,18.2342031,-65.7490624
53,00719,18.289927,-66.25344,0.0,18.250685,-66.30365859999999
54,00720,18.217946,-66.428076,1.0,18.24283,-66.40334229999999
55,00723,18.043498,-66.015479,0.0,18.04732,-66.0106684
56,00725,18.218819,-66.042375,0.0,18.294378,-66.0344581
57,00727,18.215308,-66.073565,0.0,18.1866013,-66.058249
58,00728,17.989853,-66.664116,0.0,18.0859651,-66.65337
59,00729,18.323585,-65.883206,0.0,18.3715637,-65.9007249
60,00730,18.030831,-66.616838,0.0,18.0576521,-66.6057378
61,00731,18.109947,-66.635622,2.0,18.1311468,-66.63952189999999
62,00735,18.252603,-65.68249399999999,0.0,18.2435807,-65.6539717
63,00736,18.103624,-66.151667,0.0,18.1121798,-66.1662266
64,00738,18.304458,-65.698711,2.0,18.33213,-65.6539717
65,00739,18.177233,-66.160645,1.0,18.1991076,-66.1534242
66,00740,18.331178,-65.63410400000001,0.0,18.3331276,-65.6320768
67,00741,18.163855,-65.754042,0.0,18.1756906,-65.76689429999999
68,00745,18.352216,-65.817387,0.0,18.3450502,-65.8322841
69,00751,18.001317,-66.252183,0.0,18.000619,-66.2537174
70,00754,18.147107,-65.976167,0.0,18.1895236,-65.9609256
71,00757,17.995441,-66.391334,0.0,17.988847,-66.415246
72,00765,18.130096,-65.439369,1.0,18.1262854,-65.44009849999999
73,00766,18.133196,-66.476916,0.0,18.1259182,-66.49341869999999
74,00767,18.069489,-65.89616099999999,0.0,18.0538398,-65.8917378
75,00769,18.1038,-66.357586,0.0,18.1033386,-66.3557299
76,00771,18.187148,-65.871189,0.0,18.1836055,-65.8679554
77,00772,18.438969,-65.905174,0.0,18.4313709,-65.8801054
78,00773,18.342888,-65.723109,0.0,18.3639025,-65.7252877
79,00775,18.326599,-65.30771999999999,1.0,18.311615,-65.2942869
80,00777,18.224133,-65.90854200000001,0.0,18.2266444,-65.9214923
81,00778,18.264076,-65.97851,0.0,18.2537692,-65.97608939999999
82,00780,18.102834,-66.568105,0.0,18.0399706,-66.54872499999999
83,00782,18.225708,-66.221633,0.0,18.2242263,-66.2605176
84,00783,18.30391,-66.32617900000001,0.0,18.3193182,-66.3081217
85,00784,18.010714,-66.133615,0.0,17.979522,-66.1103164
86,00786,18.155424,-66.229907,0.0,18.1561752,-66.2332309
87,00791,18.136782,-65.821476,2.0,18.132987,-65.8203943
88,00794,18.198955,-66.309833,0.0,18.2014759,-66.3096094
89,00795,18.060494,-66.500624,0.0,18.0424342,-66.48667329999999
90,00901,18.465369,-66.104613,0.0,18.4659822,-66.10434719999999
91,00906,18.46446,-66.094995,0.0,18.4673255,-66.10623249999999
92,00907,18.452553,-66.077838,0.0,18.4530752,-66.0783046
93,00909,18.44161,-66.067132,1.0,18.4418194,-66.07062549999999
94,00911,18.451159,-66.05619899999999,0.0,18.4509644,-66.0551807
95,00912,18.445328,-66.060135,0.0,18.446162,-66.059736
96,00913,18.450002,-66.04265600000001,0.0,18.4501262,-66.0426361
97,00915,18.437179,-66.045571,0.0,18.437837,-66.0493273
98,00917,18.420674,-66.050105,0.0,18.4211874,-66.0493273
99,00918,18.421022,-66.065789,0.0,18.4180126,-66.0671709
100,00920,18.414292,-66.088042,0.0,18.4100746,-66.09096339999999
101,00921,18.392282,-66.088555,2.0,18.3934227,-66.09096339999999
102,00923,18.409307,-66.038888,0.0,18.4124929,-66.0326401
103,00924,18.399192000000006,-66.01245300000001,0.0,18.3974088,-66.0166157
104,00925,18.400296,-66.050602,0.0,18.403745,-66.05378809999999
105,00926,18.3454,-66.05154499999999,2.0,18.3586321,-66.0702979
106,00927,18.388011,-66.072089,0.0,18.3958126,-66.0671709
107,00934,18.411313,-66.124234,0.0,18.41389,-66.12886999999999
108,00936,18.395463,-66.07377199999999,5.0,18.466224,-66.1057244
109,00949,18.430696,-66.21283299999999,0.0,18.4305854,-66.22481739999999
110,00950,18.459699,-66.233101,0.0,18.4461717,-66.2554042
111,00951,18.42753,-66.253789,0.0,18.4445235,-66.25503669999999
112,00952,18.427448,-66.18202600000001,0.0,18.4310786,-66.1826124
113,00953,18.360729,-66.251527,0.0,18.3915871,-66.25355540000001
114,00956,18.321137,-66.170419,1.0,18.3608477,-66.15937319999999
115,00957,18.368414,-66.18769300000001,0.0,18.3646857,-66.18851289999999
116,00959,18.385785,-66.155654,0.0,18.3902046,-66.1504497
117,00960,18.416919,-66.14579499999999,5.0,18.3930642,-66.15481679999999
118,00961,18.413307,-66.164683,0.0,18.4179488,-66.1712716
119,00962,18.444614,-66.148839,0.0,18.4354298,-66.1355775
120,00965,18.433757,-66.114752,0.0,18.4351411,-66.12033389999999
121,00966,18.401521,-66.117597,0.0,18.3918169,-66.1207057
122,00968,18.406085,-66.101232,0.0,18.3994998,-66.1239013
123,00969,18.368062,-66.108062,0.0,18.3656552,-66.1117828
124,00971,18.318884,-66.11919,0.0,18.3822991,-66.1221928
125,00976,18.336176,-65.994099,0.0,18.3656771,-66.0184793
126,00979,18.444394,-66.030036,0.0,18.4275346,-66.00781359999999
127,00982,18.411261,-65.99204499999999,0.0,18.402399,-65.9910964
128,00983,18.417816,-65.975819,0.0,18.4481264,-65.9809329
129,00985,18.41077,-65.947928,0.0,18.4370067,-65.93930639999999
130,00987,18.338161,-65.94108299999999,0.0,18.3546149,-65.94525279999999
131,01001,42.062368,-72.625754,0.0,42.0636956,-72.6269437
132,01002,42.364061,-72.45873900000002,0.0,42.34037989999999,-72.4968189
133,01003,42.389941,-72.524108,0.0,42.3956556,-72.52196169999999
134,01005,42.418848,-72.10659799999998,0.0,42.4228364,-72.1050843
135,01007,42.27901,-72.400468,0.0,42.2872433,-72.4021423
136,01008,42.190144,-72.95435,0.0,42.18370350000001,-72.9696779
137,01009,42.211969,-72.341433,0.0,42.2149803,-72.3440624
138,01010,42.128176,-72.205352,0.0,42.1423204,-72.2126905
139,01011,42.300281,-72.968716,0.0,42.2987566,-72.9696779
140,01012,42.375425,-72.858192,0.0,42.3802332,-72.8456399
141,01013,42.154904,-72.602804,0.0,42.1521342,-72.6092032
142,01020,42.17260200000001,-72.562073,0.0,42.1753663,-72.5737187
143,01022,42.197741,-72.542713,0.0,42.1985692,-72.53822930000001
144,01026,42.465495,-72.918267,0.0,42.4559124,-72.9342451
145,01027,42.295008,-72.75187700000002,0.0,42.2667707,-72.6689603
146,01028,42.062378,-72.498111,0.0,42.0644337,-72.5086511
147,01029,42.193395,-73.044647,0.0,42.1965884,-73.0228173
148,01030,42.072925,-72.686972,0.0,42.0710458,-72.6742455
149,01031,42.329399,-72.198187,0.0,42.345024,-72.224535
150,01032,42.457613,-72.81478,0.0,42.4548308,-72.8338234
151,01033,42.244949,-72.50014300000002,0.0,42.263889,-72.4968189
152,01034,42.098676,-72.961564,0.0,42.0684029,-72.9696779
153,01035,42.356491,-72.568632,0.0,42.3592048,-72.5559746
154,01036,42.062946,-72.41729699999998,0.0,42.0572887,-72.4021423
155,01037,42.372728,-72.195412,0.0,42.3794045,-72.2008455
156,01038,42.385496,-72.60692900000002,0.0,42.3818468,-72.6092032
157,01039,42.40427800000001,-72.68892199999998,0.0,42.400416,-72.6978931
158,01040,42.211656,-72.642448,2.0,42.2172092,-72.6269437
159,01050,42.286762,-72.869695,0.0,42.2920691,-72.86336349999999
160,01053,42.356301,-72.713584,1.0,42.3506122,-72.7156274
161,01054,42.468898,-72.48457900000002,0.0,42.4816448,-72.4849861
162,01056,42.183577,-72.457812,1.0,42.1912926,-72.4613191
163,01057,42.09359600000001,-72.321494,0.0,42.0806976,-72.3074326
164,01060,42.321488,-72.630588,0.0,42.3250492,-72.6411923
165,01062,42.328308,-72.703924,1.0,42.3239585,-72.6978931
166,01063,42.318882,-72.63853,0.0,42.31907260000001,-72.6395091
167,01066,42.406903,-72.655018,0.0,42.4137381,-72.6262045
168,01068,42.350862,-72.044248,0.0,42.35275710000001,-72.0349647
169,01069,42.187794,-72.30846899999997,1.0,42.1842549,-72.2955915
170,01070,42.518446,-72.91901700000003,0.0,42.5208988,-72.92243289999999
