NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTRY,LATITUDE,LONGITUDE,,,,,,,,,,,,,,,,,,
CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,GENERAL ACUTE CARE,OPEN,USA,42.99156518,-71.4743109,,,,,,,,,,,,,,,,,,
CROTCHED MOUNTAIN REHABILITATION CENTER,1 VERNEY DRIVE,GREENFIELD,NH,3047,REHABILITATION,OPEN,USA,42.9718711,-71.87453591,,,,,,,,,,,,,,,,,,
MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,3458,GENERAL ACUTE CARE,OPEN,USA,42.89308942,-71.94068275,,,,,,,,,,,,,,,,,,
SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,3060,GENERAL ACUTE CARE,OPEN,USA,42.75627984,-71.4613747,,,,,,,,,,,,,,,,,,
ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3061,GENERAL ACUTE CARE,OPEN,USA,42.74923911,-71.48021205,,,,,,,,,,,,,,,,,,
ELLIOT HOSPITAL CITY OF MANCHESTER,ONE ELLIOT WAY,MANCHESTER,NH,3103,GENERAL ACUTE CARE,OPEN,USA,42.983954,-71.438,,,,,,,,,,,,,,,,,,
CONCORD HOSPITAL,250 PLEASANT STREET,CONCORD,NH,3301,GENERAL ACUTE CARE,OPEN,USA,43.19774414,-71.5620204,,,,,,,,,,,,,,,,,,
FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVE,FRANKLIN,NH,3235,GENERAL ACUTE CARE,OPEN,USA,43.44840426,-71.64455273,,,,,,,,,,,,,,,,,,
HEALTHSOUTH REHABILITATION HOSPITAL,254 PLEASANT STREET,CONCORD,NH,3301,REHABILITATION,OPEN,USA,43.19977474,-71.56283486,,,,,,,,,,,,,,,,,,
NEW LONDON HOSPITAL,273 COUNTY ROAD,NEW LONDON,NH,3257,GENERAL ACUTE CARE,OPEN,USA,43.42063768,-72.00004766,,,,,,,,,,,,,,,,,,
